index,reference_complete,direction,stage,reference_recovery,top1_correct,search_incomplete,capped,search_seconds,evaluation_seconds,cpu_seconds,peak_rss_mb,old_reference_recovery,old_top1_correct,recovery_change,archive,evaluation
0,True,R_to_P,complete,recovered,False,False,True,243.03004647116177,20.987693786155432,234.845042,4746.3359375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/0/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/0/evaluation.json
1,True,R_to_P,complete,recovered,False,False,True,9.786248974967748,1.0706935678608716,9.791421999999999,296.4453125,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/1/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/1/evaluation.json
2,True,P_to_R,complete,recovered,True,False,True,3.81186859193258,0.4522888471838087,4.3749199999999995,155.9609375,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/2/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/2/evaluation.json
3,True,R_to_P,complete,recovered,True,False,False,1.8174144108779728,0.12036391603760421,2.4222569999999997,135.5625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/3/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/3/evaluation.json
4,True,P_to_R,complete,recovered,True,False,True,4.805148164043203,0.9152237160596997,5.4389140000000005,201.296875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/4/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/4/evaluation.json
5,True,R_to_P,complete,recovered,False,False,True,1.8666874209884554,0.19041572394780815,2.589849,144.63671875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/5/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/5/evaluation.json
6,True,R_to_P,complete,recovered,True,False,False,0.3185115500818938,0.03952545206993818,1.259136,119.47265625,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/6/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/6/evaluation.json
7,False,P_to_R,complete,unknown,,False,True,19.981323732994497,120.15623100101948,19.756300999999997,326.7109375,,,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/7/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/7/evaluation.json
8,True,R_to_P,complete,recovered,False,False,True,3.0450649119447917,0.27560051600448787,3.637906,164.13671875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/8/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/8/evaluation.json
9,True,R_to_P,complete,recovered,False,False,True,3.607170720817521,0.23874671012163162,3.8046789999999997,164.04296875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/9/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/9/evaluation.json
10,True,R_to_P,complete,recovered,False,False,True,11.196553417947143,0.8683228432200849,10.979351000000001,223.7421875,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/10/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/10/evaluation.json
11,True,R_to_P,complete,recovered,False,False,True,5.895249065943062,0.7403258900158107,6.1908829999999995,214.04296875,not_recovered,False,gained,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/11/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/11/evaluation.json
12,True,R_to_P,complete,recovered,False,False,True,14.482008093968034,1.1834608118515462,13.747201,318.59375,recovered,False,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/12/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/12/evaluation.json
13,True,R_to_P,complete,recovered,True,False,True,2.510739433579147,0.17367969546467066,2.989524,141.875,recovered,True,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/13/cuts/aam.pkl.gz,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_policy_full_20260907/13/evaluation.json
