index,balanced,source_atoms,target_atoms,target_heavy_atoms,reference_complete,reference_target_coverage,stage,evaluated,completion_run,search_incomplete,reused_search,archive,partial_archive,evaluation,reference_pairs,reference_annotation_complete,top1_correct,representative_recovery,reference_recovery,top_terminal,witness_terminal,candidate_terminals,unique_representative_chemistries,unique_heavy_representatives,best_target_heavy_coverage,best_target_all_atom_coverage,capped,symbolic_queries,unknown_queries,evaluation_seconds,evaluator_sha256,search_wall_seconds,search_archive_seconds,search_mode,search_saved_cuts_reused,search_cold_search,search_cpu_seconds,search_peak_rss_mb,search_hostname,search_slurm_job,search_cpu_model,metric_elapsed_seconds,metric_cut_count,metric_raw_result_count,metric_retained_branch_count,metric_max_live_branches,metric_max_growth_candidates,metric_subtree_branch_cap_count,metric_worker_returned_branch_count,metric_parent_merge_seconds,metric_completed_group_requests,metric_completed_group_calculations,metric_completed_group_cache_hits,metric_worker_search_seconds,metric_checkpoint_seconds,metric_symmetry_finalization_seconds,top_broken,top_formed,top_bond_order_changed,search_cpu_seconds_scope,search_child_cpu_seconds
0,True,66,66,34,True,1.0,complete,True,True,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_completion_20260906/0/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_completion_20260906/0/evaluation.json,34,True,False,True,recovered,46329,46328,20536,104,138,1.0,1.0,True,0,0,4.690071036107838,c998554adb94e24d16d31f9756ef67778fc71171c895cfc56ef214b641c1e9ef,196.39372643176466,8.422578998841345,unfinished_cuts_resumed,52,False,197.022855,7874.05859375,bosque12,437964,,171.92555565200746,69,20536,20536,100,33,254531,0,3.1501945620402694,86868,62494,24374,20.631614454090595,6.804462997242808,27.97059937659651,4,4,1,,
1,True,36,36,15,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/1/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/1/evaluation.json,15,True,False,True,recovered,1578,14106,3107,46,,1.0,1.0,True,0,0,2.253172086086124,,31.558298728894442,25.10233647399582,,,,56.706015,562.01953125,bosque56,435997,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,20.957269496982917,35,3107,3107,100,15,12202,0,0.40688223601318896,10978,9606,1372,5.876375944120809,10.787119028624147,3.839456773130223,2,2,0,,
2,False,67,37,17,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/2/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/2/evaluation.json,17,True,True,True,recovered,9279,9279,5397,464,,1.0,1.0,True,0,0,5.550286912126467,,87.28910865494981,41.740288498811424,,,,125.074214,874.4609375,bosque56,435998,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,69.11792917712592,68,5397,5397,100,22,13241,0,0.5886797700077295,21315,12741,8574,41.36132798437029,21.64674939448014,5.027589604025707,2,1,0,,
3,True,41,41,23,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/3/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/3/evaluation.json,23,True,True,True,recovered,455,455,178,3,,1.0,1.0,False,0,0,0.18865176592953503,,1.4630356468260288,0.6870549598243088,,,,3.05837,133.9140625,bosque56,435999,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.1578943780623376,41,178,178,2,16,0,0,0.00804088800214231,595,441,154,0.6095199408009648,0.32509657135233283,0.20831190678291023,1,2,1,,
4,False,32,30,17,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/4/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/4/evaluation.json,17,True,True,True,recovered,602,602,5206,55,,1.0,1.0,True,0,0,1.5411743754521012,,15.503573708236217,8.343322742730379,,,,24.106964,484.11328125,bosque12,437300,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,11.411754122003913,33,5206,5206,100,18,2860,0,0.3771827928721905,23897,17913,5984,4.063459794968367,4.06829153187573,2.8447576388716698,4,3,1,,
5,True,26,26,14,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/5/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/5/evaluation.json,14,True,False,True,recovered,1466,1470,477,14,,1.0,1.0,False,0,0,0.3123484430834651,,2.0653152021113783,1.2200987830292434,,,,4.187906,143.5859375,bosque56,436001,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,1.5464164898730814,28,477,477,24,26,0,0,0.021491053979843855,1733,1275,458,0.6280942901503295,0.5317699750885367,0.3595159959513694,2,2,0,,
6,True,16,16,12,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/6/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/6/evaluation.json,12,True,True,True,recovered,133,133,114,8,,1.0,1.0,False,0,0,0.058043780038133264,,0.33710200781933963,0.17082762997597456,,,,1.4577490000000002,121.58203125,bosque56,436002,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0.24174303701147437,17,114,114,6,12,0,0,0.003974454011768103,292,107,185,0.11542520276270807,0.07874199096113443,0.041223798179998994,1,1,0,,
7,False,81,75,30,False,0.9666666666666667,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/7/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/7/evaluation.json,29,False,,False,recovered,395,8,1140,110,,1.0,1.0,True,3,1,29.331110178492963,,8.649291560985148,3.0224575949832797,,,,11.963416,278.6328125,bosque12,437301,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,7.482598545961082,82,1140,1140,100,38,188,0,0.022457045502960682,3309,2935,374,4.674887798726559,1.407563597895205,1.3517785081639886,2,1,0,,
8,True,33,33,17,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/8/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/8/evaluation.json,17,True,False,True,recovered,6071,862,1376,19,,1.0,1.0,True,0,0,0.40011528320610523,,4.157610849477351,1.939764172770083,,,,6.319442,223.171875,bosque12,437302,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,3.199163381010294,33,1376,1376,100,24,155,0,0.03240498527884483,5754,4159,1595,1.0789043614640832,1.0585142383351922,1.0212931921705604,3,3,2,,
9,True,33,33,15,True,1.0,complete,True,False,False,False,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/9/aam.json.gz,,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_full_20260906/9/evaluation.json,15,True,False,True,recovered,41,2625,595,23,,1.0,1.0,True,0,0,0.16168572008609772,,1.9971669493243098,1.2684090668335557,,,,3.6709140000000002,173.69140625,bosque12,437303,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,1.4528539748862386,33,595,595,100,24,717,0,0.018668748438358307,2172,1863,309,0.5481393113732338,0.5190490819513798,0.3620051210746169,2,3,3,,
