entry,category,coverage,stage,report_note,source_urls,inspection_scope_and_limits
Chen–Chen–Taylor review,review_or_overview,review_sections,expanded_review,2,https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf,"Chen, W. L.; Chen, D. Z.; Taylor, K. T. *Automatic reaction mapping and reaction center detection*. WIREs Computational Molecular Science 3, 560–593 (2013). DOI: 10.1002/wcms.1140. [Full review](https://bioinf.boku.ac.at/pub/793.301/chen-WIREsCompMolSci-rev-2013.pdf). Historical EC/MCS, isomorphism, A* and optimization sections and references."
Akutsu–Nagamochi review,review_or_overview,review_sections,expanded_review,3,https://doi.org/10.5936/csbj.201302004,"Akutsu, T.; Nagamochi, H. *Comparison and Enumeration of Chemical Graphs*. Computational and Structural Biotechnology Journal 5, e201302004 (2013). [Original article](https://doi.org/10.5936/csbj.201302004). Atom-mapping review section."
Duesbury–Holliday–Willett review,review_or_overview,review_sections,expanded_review,4,https://eprints.whiterose.ac.uk/id/eprint/102232/3/MCS_review_final.pdf,"Duesbury, E.; Holliday, J.; Willett, P. *Maximum Common Subgraph Isomorphism Algorithms*. MATCH Communications in Mathematical and in Computer Chemistry 77, 213–232 (2017). [Accepted manuscript](https://eprints.whiterose.ac.uk/id/eprint/102232/3/MCS_review_final.pdf). Sections on subgraph enumeration, McGregor, clique approaches and references."
Preciat-Gonzalez comparative study,review_or_overview,comparative_overview,expanded_review,5,https://link.springer.com/article/10.1186/s13321-017-0223-1,"Preciat-Gonzalez, G., et al. *Comparative evaluation of atom mapping algorithms for balanced metabolic reactions: application to Recon 3D*. Journal of Cheminformatics 9, 39 (2017). [Original article](https://link.springer.com/article/10.1186/s13321-017-0223-1). Six-method overview and original-method references."
Lin benchmark overview,review_or_overview,comparative_overview,expanded_review,6,https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/88966/1/Varnek_AAM%20paper_for%20HUSCAP%20.pdf,"Lin, A., et al. *Atom-to-atom Mapping: A Benchmarking Study of Popular Mapping Algorithms and Consensus Strategies*. Molecular Informatics 41, 2100138 (2022). DOI: 10.1002/minf.202100138. [Author manuscript](https://eprints.lib.hokudai.ac.jp/dspace/bitstream/2115/88966/1/Varnek_AAM%20paper_for%20HUSCAP%20.pdf). Introduction, mapper descriptions and bibliography."
OpenChemLib growth,method_or_implementation,implementation_sections,earlier_audit_reused,8,https://github.com/Actelion/openchemlib/blob/0754c781c23f7570b13866e202836b5449282ad6/src/main/java/com/actelion/research/chem/reaction/mapping/SimilarityGraphBasedReactionMapper.java#L574,"Actelion/OpenChemLib contributors. [SimilarityGraphBasedReactionMapper.java](https://github.com/Actelion/openchemlib/blob/0754c781c23f7570b13866e202836b5449282ad6/src/main/java/com/actelion/research/chem/reaction/mapping/SimilarityGraphBasedReactionMapper.java#L574), version 2026.2.0, revision `0754c781c23f7570b13866e202836b5449282ad6`. Growth and outer root-sequence selection; not a complete audit of the fallback mapper."
SynKit approximate MCS,method_or_implementation,implementation_sections,expanded_review,9,https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Graph/Matcher/approx_mcs.py#L544,"SynKit contributors. [approx_mcs.py](https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Graph/Matcher/approx_mcs.py#L544), revision `b57f2a39f1807a2682913183b22e1d8d61531bba`. `_grow_from_seed` and `_approximate_mappings`, lines 544–686."
RDKit Python FMCS,method_or_implementation,official_algorithm_documentation,earlier_audit_reused,10,https://www.rdkit.org/docs/source/rdkit.Chem.fmcs.fmcs.html,"RDKit contributors. [rdkit.Chem.fmcs.fmcs documentation](https://www.rdkit.org/docs/source/rdkit.Chem.fmcs.fmcs.html). Documented Python FMCS algorithm, accessed 10 September 2026; not a version-wide audit of the native `rdFMCS` engine."
Indigo automapper,method_or_implementation,implementation_sections,expanded_review,11,https://github.com/epam/Indigo/blob/8642d73cca2b827a5351d8a8eb21816492381497/core/indigo-core/reaction/src/reaction_automapper.cpp#L335,"EPAM/Indigo contributors. [reaction_automapper.cpp](https://github.com/epam/Indigo/blob/8642d73cca2b827a5351d8a8eb21816492381497/core/indigo-core/reaction/src/reaction_automapper.cpp#L335), revision `8642d73cca2b827a5351d8a8eb21816492381497`. Outer permutation loop and `_handleWithProduct`, lines 260–435."
RDT MAX mapping loop,method_or_implementation,implementation_sections,expanded_review,12,https://github.com/asad/ReactionDecoder/blob/0d6632251108e7a8f625d15c60607a136093c4d8/src/main/java/com/bioinceptionlabs/reactionblast/mapping/algorithm/GameTheoryEngine.java#L639 | https://github.com/asad/ReactionDecoder/blob/0d6632251108e7a8f625d15c60607a136093c4d8/src/main/java/com/bioinceptionlabs/reactionblast/mapping/GraphMatcher.java#L759,"ReactionDecoder contributors. [GameTheoryEngine.java](https://github.com/asad/ReactionDecoder/blob/0d6632251108e7a8f625d15c60607a136093c4d8/src/main/java/com/bioinceptionlabs/reactionblast/mapping/algorithm/GameTheoryEngine.java#L639) and [GraphMatcher.java](https://github.com/asad/ReactionDecoder/blob/0d6632251108e7a8f625d15c60607a136093c4d8/src/main/java/com/bioinceptionlabs/reactionblast/mapping/GraphMatcher.java#L759), revision `0d6632251108e7a8f625d15c60607a136093c4d8`. MAX iteration and match commitment/removal; not the complete 2016 source release."
Armitage–Lynch,method_or_implementation,abstract_and_review,expanded_review,13,https://pubs.rsc.org/en/content/articlelanding/1967/j3/j39670000521,"Armitage, J. E.; Lynch, M. F. *Automatic detection of structural similarities among chemical compounds*. Journal of the Chemical Society C, 521–528 (1967). [Publisher record](https://pubs.rsc.org/en/content/articlelanding/1967/j3/j39670000521). DOI: 10.1039/J39670000521. Original metadata/abstract; full algorithm unavailable. Historical mechanism lead from source 4."
McSplit,method_or_implementation,primary_pseudocode,earlier_audit_reused,14,https://www.ijcai.org/proceedings/2017/0099.pdf,"McCreesh, C.; Prosser, P.; Trimble, J. *A Partitioning Algorithm for Maximum Common Subgraph Problems*. IJCAI (2017), 712–719. [Original paper](https://www.ijcai.org/proceedings/2017/0099.pdf), Algorithm 1."
Jaworski atom mapper,method_or_implementation,primary_methods,earlier_audit_reused,15,https://www.nature.com/articles/s41467-019-09440-2,"Jaworski, W., et al. *Automatic mapping of atoms across both simple and complex chemical reactions*. Nature Communications 10, 1434 (2019). [Original article](https://www.nature.com/articles/s41467-019-09440-2). Main algorithm description; supplementary internals unresolved."
gSpan,method_or_implementation,primary_pseudocode,earlier_audit_reused,16,https://sites.cs.ucsb.edu/~xyan/papers/gSpan-short.pdf,"Yan, X.; Han, J. *gSpan: Graph-Based Substructure Pattern Mining*. ICDM (2002). [Author-hosted paper](https://sites.cs.ucsb.edu/~xyan/papers/gSpan-short.pdf), Subprocedure 1."
Petersen multiple MCS,method_or_implementation,primary_methods,expanded_review,17,https://arxiv.org/html/2503.22368v2,"Petersen, J. B. S., et al. *On Finding All Connected Maximum-Sized Common Subgraphs in Multiple Labeled Graphs*. arXiv:2503.22368v2 (2025). [Original manuscript](https://arxiv.org/html/2503.22368v2), Sections 2–3. The revised version supplies the comparison."
SLAP,method_or_implementation,implementation_sections,earlier_audit_reused,18,https://github.com/shin1koda/slap-mapper/blob/ea248fd9494f52f4865193e87a98cc92c62b5f9e/src/slapmapper/core.py#L479,"SLAP contributors. [core.py](https://github.com/shin1koda/slap-mapper/blob/ea248fd9494f52f4865193e87a98cc92c62b5f9e/src/slapmapper/core.py#L479), revision `ea248fd9494f52f4865193e87a98cc92c62b5f9e`. LAP, label-state refinement and visited-state operations."
SynKit exact mapper,method_or_implementation,implementation_sections,earlier_audit_reused,19,https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Chem/Reaction/Mapper/exact/branching.py#L391 | https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Chem/Reaction/Mapper/exact/enumerate.py,"SynKit contributors. [exact/branching.py](https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Chem/Reaction/Mapper/exact/branching.py#L391) and [exact/enumerate.py](https://github.com/TieuLongPhan/SynKit/blob/b57f2a39f1807a2682913183b22e1d8d61531bba/synkit/Chem/Reaction/Mapper/exact/enumerate.py), revision `b57f2a39f1807a2682913183b22e1d8d61531bba`. Assignment recursion and symmetry keys."
AND/OR context merging,general_foundation,primary_theory,earlier_audit_reused,20,https://www.ics.uci.edu/~csp/r126.pdf,"Dechter, R.; Mateescu, R. *AND/OR search spaces for graphical models*. Artificial Intelligence 171, 73–106 (2007). [Author-hosted paper](https://www.ics.uci.edu/~csp/r126.pdf). Context-based merging as general search precedent."
Graph canonicalization / nauty,general_foundation,primary_theory,earlier_audit_reused,21,https://arxiv.org/abs/1301.1493,"McKay, B. D.; Piperno, A. *Practical Graph Isomorphism, II*. Journal of Symbolic Computation 60, 94–112 (2014). [Author manuscript](https://arxiv.org/abs/1301.1493). Canonicalization and automorphism foundations."
González Laffitte partial-map extension,method_or_implementation,primary_methods,earlier_audit_reused,22,https://link.springer.com/article/10.1186/s13015-026-00300-5,"González Laffitte, M. E.; Phan, T.-L.; Stadler, P. F. *Extension of partial atom-to-atom maps: uniqueness and algorithms*. Algorithms for Molecular Biology 21, 10 (2026). [Original article](https://link.springer.com/article/10.1186/s13015-026-00300-5). Partial-map extension, anchored matching and automorphism relationships."
Mann constraint-programming AAM,method_or_implementation,primary_methods,earlier_audit_reused,23,https://link.springer.com/article/10.1186/s13015-014-0023-3,"Mann, M., et al. *Atom mapping with constraint programming*. Algorithms for Molecular Biology (2014). [Original article](https://link.springer.com/article/10.1186/s13015-014-0023-3). Cyclic reaction-center constraints and graph-matching extension."
Ali Ising-assisted enumeration,method_or_implementation,primary_methods,earlier_audit_reused,24,https://pmc.ncbi.nlm.nih.gov/articles/PMC11863377/,"Ali, M., et al. *Enumeration Approach to Atom-to-Atom Mapping Accelerated by Ising Computing*. Journal of Chemical Information and Modeling (2025). [Full original article](https://pmc.ncbi.nlm.nih.gov/articles/PMC11863377/). DOI: 10.1021/acs.jcim.4c01871. Common-edge-subgraph enumeration and symmetry treatment; no independent implementation certification."
